ID,AG,Gender,Scale,Relationship,sleep_hours,How_you_are_feeling?,How_do_you_describe_your_current_mood?,How_often_do_you_take_caffeine,Do_you_face_trouble_concentrating_or_focusing_on_stuffs?,Overthinking_a_lot_about_the_things_surrounding_us?
592,2,1,4,2,3,1,3,4,2,2
593,1,1,2,2,2,4,3,3,3,4
594,2,2,4,2,3,1,3,2,3,3
595,1,1,3,2,3,1,3,1,3,3
596,2,1,5,2,3,3,2,2,3,3
597,2,1,3,2,3,3,3,2,3,3
598,2,1,4,2,2,1,3,2,3,2
599,2,1,2,2,2,4,3,3,3,5
600,2,1,3,2,3,4,3,1,1,4
601,2,1,4,2,3,1,1,1,3,3
602,2,2,4,1,2,1,2,2,3,3
603,2,1,5,2,3,3,2,1,3,2
604,2,1,5,2,3,3,4,3,2,4
605,2,1,2,2,2,4,1,4,3,2
606,2,2,3,2,2,1,4,2,3,2
607,2,1,3,2,2,4,3,1,1,2
608,2,1,1,2,3,1,4,2,1,5
609,2,1,4,2,2,4,1,4,1,5
610,2,1,1,4,1,1,3,2,1,5
611,2,1,4,2,2,1,2,3,3,3
612,2,1,1,2,2,2,2,4,3,3
613,2,2,2,2,3,4,4,2,3,2
614,2,1,3,2,2,1,3,2,3,2
615,2,1,4,2,2,1,2,1,1,2
616,1,2,3,2,3,1,3,2,3,5
617,2,1,3,2,2,3,3,3,3,2
618,2,1,2,2,3,4,2,3,1,5
619,2,1,4,2,2,1,3,2,1,2
620,2,1,3,2,3,2,2,3,3,5
621,2,2,2,2,3,1,2,1,3,3
622,2,2,4,2,3,1,3,4,3,4
623,2,2,3,2,2,4,4,2,1,2
624,2,2,4,2,2,1,3,2,1,5
625,2,2,3,2,3,1,4,2,1,2
626,2,1,2,4,3,4,3,1,1,5
627,2,1,3,2,3,4,1,1,3,5
628,2,2,4,2,2,1,3,4,3,4
629,2,1,5,2,3,2,2,1,3,4
630,2,1,4,2,2,2,2,4,2,3
631,2,1,4,2,3,2,2,3,2,5
632,2,1,3,2,2,4,3,1,3,2
633,2,1,1,2,4,4,4,3,3,2
634,2,2,3,2,3,1,2,2,3,5
635,2,1,5,1,3,2,3,1,3,3
636,2,2,2,2,3,1,3,1,3,2
637,2,1,4,2,4,4,3,3,3,3
638,2,1,5,2,2,1,2,2,3,4
639,2,2,3,2,3,2,2,3,3,2
640,2,2,4,2,3,1,3,1,3,3
641,2,1,5,2,2,2,2,4,2,2
642,2,1,5,3,1,4,2,4,1,4
643,2,2,3,1,3,1,3,3,3,3
644,2,1,3,1,3,1,4,4,3,5
645,2,1,4,2,4,4,4,1,1,3
646,2,2,4,2,3,3,2,3,3,2
647,2,1,1,3,1,4,1,1,1,5
648,2,1,1,2,1,1,3,4,2,3
649,2,1,3,2,3,4,3,1,3,2
650,2,1,5,2,3,2,2,1,2,3
651,2,2,3,2,3,3,2,1,3,4
652,2,2,4,2,3,2,3,2,3,5
653,2,2,3,2,2,1,3,3,2,2
654,2,2,3,2,2,1,3,1,3,2
655,2,2,5,1,2,2,3,4,3,3
656,2,1,5,2,3,2,2,4,3,4
657,2,1,3,2,3,1,1,3,3,3
658,2,2,4,1,4,4,3,1,3,3
659,2,1,1,3,1,1,3,4,2,5
660,2,1,3,4,2,1,3,4,3,2
661,2,1,1,3,1,4,4,4,1,5
662,2,2,2,2,4,2,3,4,1,5
663,5,1,3,5,3,2,3,4,3,4
664,2,1,5,1,3,2,2,1,3,3
665,2,1,5,2,3,1,3,2,3,5
666,2,2,3,2,3,1,3,1,3,3
667,2,1,4,2,3,1,3,3,3,2
668,2,2,5,1,3,1,2,1,3,3
669,2,1,4,2,3,1,3,3,3,3
670,2,1,1,4,3,1,3,1,3,5
671,2,1,5,2,3,2,2,3,1,2
672,2,1,4,2,3,1,2,1,3,3
673,2,1,4,2,2,3,2,2,3,5
674,2,1,5,2,2,4,3,1,3,2
675,2,1,4,2,3,4,3,2,2,4
676,2,1,3,2,3,1,3,4,3,3
677,2,1,3,2,3,1,3,1,3,3
678,2,1,4,1,1,4,4,4,3,2
679,2,1,3,2,3,1,3,1,1,2
680,2,1,4,2,2,4,1,4,3,5
681,2,1,4,2,3,3,3,4,3,3
682,1,1,3,2,2,3,2,3,3,2
683,2,1,4,2,3,3,2,4,3,3
684,2,1,4,2,3,4,3,1,3,5
685,2,1,5,2,3,3,3,4,3,5
686,2,1,5,1,3,2,2,2,2,4
687,2,1,3,2,3,4,3,4,1,2
688,2,1,3,2,2,2,2,3,3,3
689,1,2,1,2,3,1,3,3,3,3
690,2,1,3,1,3,1,3,4,3,2
691,2,1,2,2,3,1,3,2,3,2
692,2,1,3,2,3,1,3,4,3,5
693,2,1,4,2,3,1,2,1,3,2
694,2,2,3,2,2,1,3,4,2,5
695,2,2,3,2,2,1,1,4,1,5
696,2,2,3,2,2,1,1,4,1,5
697,2,2,2,2,4,1,3,1,3,3
698,2,1,3,2,2,1,1,2,3,5
699,1,1,5,2,3,3,2,1,3,4
700,1,1,1,3,1,4,4,4,1,4
